label_hyperonyme,relation,label_hyponyme
small cell carcinoma,hyponym,colon small cell carcinoma
small cell carcinoma,hyponym,gallbladder small cell carcinoma
arterial hypertension,hyponym,malignant hypertension
hyperlipidemia,hyponym,hyperlipoproteinemia type iv
vascular disease,hyponym,tricuspid valve prolapse
central nervous system lymphoma,hyponym,spinal cord lymphoma
prostate cancer,hyponym,prostate lymphoma
schizophrenia,hyponym,schizophrenia 8
schizophrenia,hyponym,schizophrenia 19
retinal degeneration,hyponym,diallinas - amalric syndrome
lung disease,hyponym,plastic bronchitis
gallbladder disease,hyponym,cholecystolithiasis
ovarian serous cystadenoma,hyponym,papillary serous cystadenocarcinoma
osteochondrosis,hyponym,spinal osteochondrosis
inherit metabolic disorder,hyponym,amino acid metabolic disorder
hematopoietic system disease,hyponym,leukocyte disease
spinal cancer,hyponym,spinal cord dermoid cyst
hemangioma,hyponym,cerebral arteriovenous malformation
kidney disease,hyponym,renal infectious disease
bowel obstruction,hyponym,paralytic ileus
infectious disease,hyponym,renal infectious disease
food allergy,hyponym,egg allergy
cleidocranial dysplasia,hyponym,parietal foramina with cleidocranial dysplasia
bactericide,hyponym,sofosbuvir
papilloma,hyponym,renal pelvi invert papilloma
arthropathy,hyponym,de quervain syndrome
thrombocytopenia,hyponym,primary thrombocytopenia
lymphoma,hyponym,prostate lymphoma
lymphoma,hyponym,nasal cavity lymphoma
radiculopathy,hyponym,nerve root neoplasm
astrocytoma,hyponym,adult astrocytic tumour
exudative vitreoretinopathy,hyponym,evr3
gallbladder disease,hyponym,isolated agenesis of gallbladder
myokymia,hyponym,facial myokymia
refractory cytopenia with multilineage dysplasia,hyponym,refractory anemia
second heart sound split,hyponym,fix split of second heart sound
adactyly,hyponym,congenital absence / hypoplasia of finger exclude thumb unilateral
striatonigral degeneration,hyponym,striatonigral degeneration childhood - onset ; sndc
hyperinsulinemic hypoglycemia,hyponym,hirata disease
hypertrichosis of eyelid,hyponym,hypertrichosis lanuginosa congenita
vitreous syneresis,hyponym,vitreoretinal degeneration
ocular melanoma,hyponym,ocular melanoma with extraocular extension
laryngeal disease,hyponym,larynx anomaly
cavovarus foot deformity,hyponym,acquire cavovarus foot deformity
dysarthria,hyponym,anarthria
parasitic protozoa infectious disease,hyponym,amebiasis
parasitic protozoa infectious disease,hyponym,amoebiasis
parasitic protozoa infectious disease,hyponym,theileriasis
ovarian germ cell monodermal and highly specialized teratoma,hyponym,struma ovarii
monodermal teratoma,hyponym,struma ovarii
dermatitis,hyponym,erysipelas
corneal edema,hyponym,contact lens corneal edema
bladder dome cancer,hyponym,bladder trigone cancer
congestive heart failure,hyponym,systolic heart failure
cone monochromacy,hyponym,blue cone monochromacy
papillary serous cystadenoma,hyponym,papillary serous cystadenocarcinoma
tricuspid valve disease,hyponym,tricuspid valve prolapse
tricuspid valve disease,hyponym,tricuspid valve stenosis
aleukemic leukemia cutis,hyponym,aleukemic monocytic leukemia cutis
pediatric testicular germ cell tumor,hyponym,childhood testicular mix germ cell tumor
pediatric ovarian germ cell tumor,hyponym,pediatric ovarian dysgerminoma
chest wall lymphoma,hyponym,chest wall parachordoma
motor neuritis,hyponym,glossopharyngeal motor neuropathy
motor neuritis,hyponym,asymmetric motor neuropathy
uveal epithelioid cell melanoma,hyponym,ciliary body epithelioid cell melanoma
childhood central nervous system germinoma,hyponym,childhood brain germinoma
malignant childhood germ cell neoplasm,hyponym,childhood testicular mix germ cell tumor
malignant childhood germ cell neoplasm,hyponym,pediatric ovarian dysgerminoma
rare childhood malignant neoplasm,hyponym,childhood testicular mix germ cell tumor
rare childhood malignant neoplasm,hyponym,pediatric ovarian dysgerminoma
testicular cancer,hyponym,testis sarcoma
focal epilepsy,hyponym,simple partial seizure
t - cell leukemia,hyponym,acute t cell leukemia
bone marrow failure,hyponym,aplastic anemia
hypermethioninemia,hyponym,hypermethioninemia due to adenosine kinase deficiency
overnutrition,hyponym,hypervitaminosis d
pulmonary neuroendocrine tumor,hyponym,lung mix small cell and squamous cell carcinoma
ocular motility disease,hyponym,ocular neuromyotonia
frontal sinus neoplasm,hyponym,frontal sinus schneiderian papilloma
protozoal dysentery,hyponym,amebiasis
protozoal dysentery,hyponym,amoebiasis
acute myocardial infarction,hyponym,strictly posterior acute myocardial infarction
neoplasm of body of uterus,hyponym,polyp of corpus uteri
benign neoplasm of esophagus,hyponym,esophagus leiomyoma
bacterial infectious disease,hyponym,rheumatic myocarditis
ileus,hyponym,paralytic ileus
leukoplakia,hyponym,leukoplakia of penis
large intestine cancer,hyponym,cecum cancer
vaginal disease,hyponym,vaginal benign neoplasm
female reproductive organ benign neoplasm,hyponym,uterine benign neoplasm
female reproductive organ benign neoplasm,hyponym,vaginal benign neoplasm
drug - induce mental disorder,hyponym,drug psychosis
cerebellar disease,hyponym,cerebellum cancer
parenteral administration,hyponym,intravenous administration
childhood cancer,hyponym,childhood central nervous system primitive neuroectodermal neoplasm
plexopathy,hyponym,nerve plexus neoplasm
central nervous system primitive neuroectodermal neoplasm,hyponym,adult central nervous system primitive neuroectodermal neoplasm
central nervous system primitive neuroectodermal neoplasm,hyponym,childhood central nervous system primitive neuroectodermal neoplasm
central nervous system primitive neuroectodermal neoplasm,hyponym,intracranial primitive neuroectodermal tumor
subglottis cancer,hyponym,subglottis carcinoma
peripheral nervous system neoplasm,hyponym,nerve plexus neoplasm
peripheral nervous system neoplasm,hyponym,nerve root neoplasm
adenocarcinoma of the lung,hyponym,bronchiolo - alveolar adenocarcinoma
heart arrhythmia,hyponym,torsades de pointes
heart cancer,hyponym,heart lymphoma
hair disease,hyponym,hypotrichosis
cognitive disorder,hyponym,postoperative cognitive dysfunction
complication of diabetes mellitus,hyponym,diabetic angiopathy
epithelioid sarcoma,hyponym,peripheral epithelioid sarcoma
fibrosarcoma,hyponym,central nervous system fibrosarcoma
erythroderma,hyponym,red man syndrome
penile disease,hyponym,leukoplakia of penis
inner ear disease,hyponym,sensorineural hearing loss
aortic disease,hyponym,tricuspid valve prolapse
aortic disease,hyponym,tricuspid valve stenosis
adenosquamous bile duct carcinoma,hyponym,ampulla of vater adenosquamous carcinoma
renal pelvis neoplasm,hyponym,renal pelvis papillary tumor
adult central nervous system teratoma,hyponym,adult central nervous system mature teratoma
central nervous system mature teratoma,hyponym,adult central nervous system mature teratoma
pediatric testicular germ cell tumor,hyponym,childhood choriocarcinoma of the testis
malignant childhood germ cell neoplasm,hyponym,childhood endodermal sinus tumor
malignant childhood germ cell neoplasm,hyponym,childhood choriocarcinoma of the testis
medulloblastoma,hyponym,intracranial primitive neuroectodermal tumor
head and neck cancer,hyponym,anterior cranial fossa meningioma
nervous system heredodegenerative disease,hyponym,leukoencephalopathy - metaphyseal chondrodysplasia syndrome
nervous system heredodegenerative disease,hyponym,neuronopathy distal hereditary motor type 2c
nervous system heredodegenerative disease,hyponym,progressive encephalopathy with leukodystrophy due to decr deficiency
nervous system heredodegenerative disease,hyponym,striatonigral degeneration childhood - onset ; sndc
nervous system heredodegenerative disease,hyponym,vitreoretinal degeneration
bilineal acute myeloid leukemia,hyponym,childhood acute myeloid leukemia
rare dyslipidemia,hyponym,progressive encephalopathy with leukodystrophy due to decr deficiency
head and neck disease,hyponym,facial myokymia
carcinoma of floor of mouth,hyponym,floor of mouth mucoepidermoid carcinoma
idiopathic hypercalciuria,hyponym,hypercalciuria absorptive 2
hyperphosphatasia - intellectual disability syndrome,hyponym,hyperphosphatasia with mental retardation syndrome 3
neurological disorder,hyponym,rett syndrome
orchitis,hyponym,inflammation of   tunica vaginalis
xeroderma pigmentosum,hyponym,desanctis – cacchione syndrome
breast papillomatosis,hyponym,breast juvenile papillomatosis
malignant pineal area germ cell neoplasm,hyponym,pineal region teratoma
endocrine gland cancer,hyponym,pineal region teratoma
pituitary cancer,hyponym,malignant growth hormone secrete neoplasm of pituitary
reactive cutaneous fibrous lesion,hyponym,hypertrophic scar
central nervous system sarcoma,hyponym,central nervous system fibrosarcoma
colon cancer,hyponym,colon small cell carcinoma
pyelitis,hyponym,pyelonephritis
mixed glioma,hyponym,mixed astrocytoma - ependymoma - oligodendroglioma
follicular adenoma,hyponym,fetal adenoma
uterus carcinoma in situ,hyponym,cervix uteri carcinoma in situ
amino acid metabolic disorder,hyponym,tyrosinemia
leukocyte disease,hyponym,eosinophilia
vascular skin disease,hyponym,erythromelalgia
congenital anemia,hyponym,aplastic anemia
sulfuraminoacidemia,hyponym,hypermethioninemia due to adenosine kinase deficiency
genetic disease,hyponym,desanctis – cacchione syndrome
myiasis,hyponym,gastrointestinal myiasis
cardiovascular disease,hyponym,ortner 's syndrome
duodenal atresia,hyponym,annular pancreas
pancreas disease,hyponym,annular pancreas
proctitis,hyponym,anal papillitis
periodontal disease,hyponym,periodontosis
parasitic helminthiasis infectious disease,hyponym,strongyloidiasis
helminthiasis,hyponym,strongyloidiasis
facie,hyponym,abnormal facial shape
male reproductive system disease,hyponym,prostate disease
multiple abnormality,hyponym,thomas syndrome
otospondylomegaepiphyseal dysplasia,hyponym,megaepiphyseal dwarfism
scaly foot,hyponym,infestation by knemidokoptes mutan
splenic disease,hyponym,splenic tuberculosis
ampulla of semicircular duct,hyponym,anterior membranous ampulla
stent,hyponym,ureteric stent
bladder disease,hyponym,neurogenic bladder
gingival overgrowth,hyponym,gingival hypertrophy
interphalangeal joint of hand,hyponym,distal interphalangeal joint of finger
fibroma,hyponym,adenofibroma
craniofacial disease,hyponym,parietal foramina with cleidocranial dysplasia
eat disorder,hyponym,pica
hemangioblastoma,hyponym,cerebellar angioblastoma
lymphopenia,hyponym,idiopathic cd4 + lymphocytopenia
squamous cell carcinoma,hyponym,anal canal squamous cell carcinoma
uterine disease,hyponym,uterine benign neoplasm
supraglottis neoplasm,hyponym,supraglottis cancer
uterine neoplasm,hyponym,uterine benign neoplasm
breast cancer,hyponym,breast granular cell tumor
malignant peripheral nerve sheath tumor,hyponym,epithelioid malignant peripheral nerve sheath tumor
chondroma,hyponym,central nervous system chondroma
chordoma,hyponym,skull base chordoma
squamous cell carcinoma,hyponym,sphenoid sinus squamous cell carcinoma
genetic disease,hyponym,hereditary cancer
brain disease,hyponym,cerebral arteriovenous malformation
brain disease,hyponym,cerebral arteriovenous malformation
anus cancer,hyponym,anus lymphoma
osteosarcoma,hyponym,metachronous osteosarcoma of the bone
ichthyosis,hyponym,ichthyosis vulgaris
sarcoma,hyponym,mediastinum sarcoma
sarcoma,hyponym,rectum sarcoma
neurilemmoma,hyponym,plexiform schwannoma
congenital malformation of pancreas,hyponym,annular pancreas
anaesthesia,hyponym,general anaesthesia
glia,hyponym,astrocyte
neuroblastoma,hyponym,extracranial neuroblastoma
congenital heart disease,hyponym,congenital heart block
skin disease,hyponym,strongyloidiasis
oculocutaneous albinism,hyponym,oculocutaneous albinism type 1
lipid storage disease,hyponym,farber lipogranulomatosis
muscular dystrophy,hyponym,becker muscular dystrophy
bacterial infectious disease,hyponym,mycobacterium infectious disease
skin disease,hyponym,cutaneous mastocytosis
anesthesia,hyponym,general anaesthesia
lymphoma,hyponym,tracheal lymphoma
lymphoma,hyponym,anus lymphoma
lymphoma,hyponym,ureteral lymphoma
lymphoma,hyponym,rectum lymphoma
reduce affect display,hyponym,emotional detachment
cancer,hyponym,hereditary cancer
skull cancer,hyponym,anterior cranial fossa meningioma
rectum sarcoma,hyponym,rectum rhabdomyosarcoma
central nervous system sarcoma,hyponym,central nervous system angiosarcoma
cervix disease,hyponym,cervix uteri carcinoma in situ
colonic benign neoplasm,hyponym,colon neuroendocrine neoplasm
laryngeal neoplasm,hyponym,supraglottis neoplasm
liver sarcoma,hyponym,liver rhabdomyosarcoma
breast sarcoma,hyponym,breast rhabdomyosarcoma
thymus cancer,hyponym,thymus mucoepidermoid carcinoma
breast adenocarcinoma,hyponym,breast mucoepidermoid carcinoma
breast adenocarcinoma,hyponym,breast adenoid cystic carcinoma
breast carcinoma,hyponym,breast adenoid cystic carcinoma
esophagus squamous cell carcinoma,hyponym,esophagus verrucous carcinoma
chronic diarrhea,hyponym,osmotic diarrhea
strabismus,hyponym,hypotropia
extrinsic allergic alveolitis,hyponym,maple bark stripper ' lung
enthesopathy,hyponym,fibular collateral ligament bursitis
machado - joseph disease,hyponym,machado - joseph disease type 2
carotid artery dissection,hyponym,internal carotid artery dissection
impedance audiometry,hyponym,stapedius reflex finding
immune disorder,hyponym,hirata disease
cleft palate,hyponym,cleft palate - lateral synechia syndrome
anorectal anomaly,hyponym,genetic anorectal anomaly
childhood leukemia,hyponym,childhood acute myeloid leukemia
meningioma,hyponym,intraventricular meningioma
meningioma,hyponym,secretory meningioma
paranasal sinus cancer,hyponym,paranasal sinus sarcoma
acute lymphocytic leukemia,hyponym,null - cell leukemia
atrioventricular block,hyponym,congenital heart block
neurilemmoma,hyponym,schwannoma of twelfth cranial nerve
meningioma,hyponym,anterior cranial fossa meningioma
meningioma,hyponym,foraman magnum meningioma
arthritis,hyponym,psoriatic arthritis
tracheal cancer,hyponym,tracheal lymphoma
heart cancer,hyponym,malignant cardiac germ cell tumor
kidney cancer,hyponym,childhood kidney neoplasm
cystitis,hyponym,emphysematous cholecystitis
stomach disease,hyponym,gastric hemangioma
hereditary cancer,hyponym,cobb syndrome
non - steroidal anti - inflammatory drug,hyponym,naproxen
movement disorder,hyponym,stiff - person syndrome
syndrome,hyponym,psoriatic arthritis
sarcoma,hyponym,paranasal sinus sarcoma
sarcoma,hyponym,central nervous system sarcoma
sarcoma,hyponym,testis sarcoma
dissociative disorder,hyponym,depersonalization disorder
pena - shokeir syndrome,hyponym,fetal akinesia deformation sequence
dystonia,hyponym,infantile parkinsonism - dystonia
lipoma,hyponym,thymus lipoma
retinal disease,hyponym,retinal detachment
retinopathy,hyponym,retinal detachment
myeloid neoplasm,hyponym,multiple myeloma
leukocyte disease,hyponym,multiple myeloma
cholecystitis,hyponym,emphysematous cholecystitis
chronic inflammation of lacrimal passage,hyponym,chronic dacryocystitis
skull disorder,hyponym,skull neoplasm
cervical intraepithelial neoplasia,hyponym,cervix uteri carcinoma in situ
arterial occlusive disease,hyponym,diabetic angiopathy
arterial occlusive disease,hyponym,erythromelalgia
find by auscultation,hyponym,find by respiratory auscultation
urinary tract infection,hyponym,pyelonephritis
idiopathic cd4 lymphocytopenia,hyponym,idiopathic cd4 + lymphocytopenia
inborn disorder of phenylalanine or tyrosine metabolism,hyponym,tyrosinemia
rare childhood malignant neoplasm,hyponym,pediatric extraocular retinoblastoma
adverse drug reaction,hyponym,heparin - induce thrombocytopenia
ventricular tachycardia,hyponym,torsades de pointes
dacryocystitis,hyponym,chronic dacryocystitis
uterine corpus cancer,hyponym,isthmus cancer
bacterial conjunctivitis,hyponym,ophthalmia neonatorum
vitreous disease,hyponym,vitreous abscess
purulent endophthalmitis,hyponym,vitreous abscess
malignant neoplasm of meninge,hyponym,meningeal melanocytoma
gonococcal eye infectious disease,hyponym,ophthalmia neonatorum
heart valve prolapse,hyponym,tricuspid valve prolapse
chromosome 2q deletion,hyponym,2q37 monosomy
abnormal respiratory rate,hyponym,tachypnea
squamous cell carcinoma of the small intestine,hyponym,ampulla of vater squamous cell carcinoma
rare nervous system tumor,hyponym,external ear squamous cell carcinoma
congenital tricuspid malformation,hyponym,tricuspid valve prolapse
rare childhood malignant neoplasm,hyponym,childhood endodermal sinus tumor
rare childhood malignant neoplasm,hyponym,childhood choriocarcinoma of the testis
mastocytosis,hyponym,cutaneous mastocytosis
streptococcal infection,hyponym,erysipelas
multifocal osteogenic sarcoma,hyponym,asynchronous multifocal osteogenic sarcoma
breast carcinoma,hyponym,nipple carcinoma
central nervous system teratoma,hyponym,pineal region teratoma
fallopian tube adenocarcinoma,hyponym,fallopian tube clear cell adenocarcinoma
extracranial neuroblastoma,hyponym,spinal cord neuroblastoma
mediastinum sarcoma,hyponym,mediastinum leiomyosarcoma
prostate sarcoma,hyponym,prostate leiomyosarcoma
anus sarcoma,hyponym,anus leiomyosarcoma
colon neuroendocrine neoplasm,hyponym,colon small cell carcinoma
bile duct disease,hyponym,extrahepatic bile duct leiomyoma
neurodegeneration,hyponym,tauopathy
embryonal rhabdomyosarcoma,hyponym,orbit embryonal rhabdomyosarcoma
familial adenomatous polyposis,hyponym,attenuated familial adenomatous polyposis
cardiomegaly,hyponym,atrial enlargement
acarodermatitis,hyponym,baker 's itch
lymphoid leukemia,hyponym,b - cell leukemia
cervix disease,hyponym,hypertrophic elongation of cervix
infratentorial cancer,hyponym,cerebellum cancer
small intestine neoplasm,hyponym,jejunal neoplasm
laryngeal disease,hyponym,laryngeal neoplasm
upper respiratory tract disease,hyponym,tracheal disease
biliary tract disease,hyponym,bile duct disease
skull neoplasm,hyponym,skull cancer
genetic disease,hyponym,mirage syndrome
genetic disease,hyponym,retinal detachment
acute myeloid leukemia,hyponym,acute promyelocytic leukemia
mood disorder,hyponym,mental depression
mood disorder,hyponym,depression
type-1 diabete,hyponym,bangstad syndrome
dwarfism,hyponym,bangstad syndrome
cerebral palsy,hyponym,ataxic cerebral palsy
ataxia,hyponym,bangstad syndrome
lymphadenopathy,hyponym,axillary lymphadenopathy
lichen planus,hyponym,atrophic lichen planus
balanitis,hyponym,balanitis xerotica obliterans
fever,hyponym,fever of unknown origin
rectum cancer,hyponym,rectum lymphoma
basal - cell carcinoma,hyponym,scrotum basal cell carcinoma
bactericide,hyponym,chloramphenicol
bactericide,hyponym,ciprofloxacin
bladder disease,hyponym,bladder exstrophy
genetic disease,hyponym,aneurysmal bone cyst
genetic disease,hyponym,angioid streak
syndrome,hyponym,malformation syndrome
hemangioma,hyponym,gastric hemangioma
prostate carcinoma,hyponym,prostate adenocarcinoma
bone cancer,hyponym,skull cancer
glioblastoma,hyponym,gliosarcoma
cataract,hyponym,capsule opacification
pancreas disease,hyponym,pancreatic mucinous ductal ectasia
ureteral cancer,hyponym,ureteral lymphoma
verrucous carcinoma,hyponym,esophagus verrucous carcinoma
kidney neoplasm,hyponym,childhood kidney neoplasm
inflammatory disease,hyponym,stomatitis
gingival disease,hyponym,gingival overgrowth
mucositis,hyponym,stomatitis
discomfort,hyponym,malaise
hemangioma of intra - abdominal structure,hyponym,hepatic hemangioma
liver neoplasm,hyponym,hepatic hemangioma
acrofacial dysostosis,hyponym,miller syndrome
microbiological test,hyponym,ziehl - neelsen stain
rare nervous system tumor,hyponym,cerebral arteriovenous malformation
anal disease,hyponym,anogenital venereal wart
acute myeloid leukemia,hyponym,acute myeloblastic leukemia with maturation
breast benign neoplasm,hyponym,benign eccrine breast spiradenoma
mediastinum neuroblastoma,hyponym,mediastinum ganglioneuroblastoma
hypoglossal nerve disease,hyponym,schwannoma of twelfth cranial nerve
bile duct rhabdomyosarcoma,hyponym,embryonal extrahepatic bile duct rhabdomyosarcoma
orbit rhabdomyosarcoma,hyponym,orbit embryonal rhabdomyosarcoma
central nervous system cancer,hyponym,central nervous system sarcoma
carcinoma,hyponym,krukenberg tumor
refractive error,hyponym,anisometropia
meningitis,hyponym,aseptic meningitis
cerebellum cancer,hyponym,cerebellar angioblastoma
chromophobe renal cell carcinoma,hyponym,eosinophilic variant of chromophobe renal cell carcinoma
anus neoplasm,hyponym,anal neuroendocrine tumor
extragonadal germ cell cancer,hyponym,pineal region teratoma
breast hemangioma,hyponym,breast capillary hemangioma
ureter adenocarcinoma,hyponym,renal pelvis adenocarcinoma
heart sarcoma,hyponym,heart leiomyosarcoma
rectum leiomyosarcoma,hyponym,anus leiomyosarcoma
testicular malignant germ cell cancer,hyponym,testicular non - seminomatous germ cell cancer
spinal cancer,hyponym,spinal cord neuroblastoma
hormone produce pituitary cancer,hyponym,malignant growth hormone secrete neoplasm of pituitary
rectum neuroendocrine neoplasm,hyponym,anal neuroendocrine tumor
retroperitoneal cancer,hyponym,retroperitoneal germ cell neoplasm
renal pelvi urothelial papilloma,hyponym,renal pelvi invert papilloma
spinal cord primitive neuroectodermal neoplasm,hyponym,spinal cord neuroblastoma
ureter invert papilloma,hyponym,renal pelvi invert papilloma
intraocular mixed cell type melanoma,hyponym,iris mixed cell melanoma
malignant iris melanoma,hyponym,iris mixed cell melanoma
liver leiomyoma,hyponym,extrahepatic bile duct leiomyoma
malignant neoplasm of meninge,hyponym,lung meningioma
mediastinal cancer,hyponym,mediastinal mesenchymal tumor
paranasal sinus schneiderian papilloma,hyponym,frontal sinus schneiderian papilloma
benign neoplasm of appendix,hyponym,appendix leiomyoma
benign neoplasm of frontal sinus,hyponym,frontal sinus schneiderian papilloma
benign neoplasm of cerebellum,hyponym,cerebellar angioblastoma
growth hormone - produce pituitary gland neoplasm,hyponym,malignant growth hormone secrete neoplasm of pituitary
appendix disease,hyponym,appendix leiomyoma
oliguria,hyponym,anuria
leukocytosis,hyponym,lymphocytosis
kidney disease,hyponym,anuria
primary tumor of the heart,hyponym,cardiac myxoma
atriodigital dysplasia,hyponym,berk – tabatznik syndrome
polyglandular dysfunction,hyponym,bangstad syndrome
brain abscess,hyponym,amoebic brain abscess
melanoma,hyponym,amelanotic melanoma
neonatal anemia,hyponym,anemia of prematurity
genetic disease,hyponym,hip dysplasia
genetic disease,hyponym,shashi - pena syndrome
infectious disease,hyponym,amoebic brain abscess
zellweger syndrome,hyponym,peroxisome biogenesis disorder 2a ( zellweger )
zellweger syndrome,hyponym,peroxisome biogenesis disorder 6a ( zellweger )
zellweger syndrome,hyponym,peroxisome biogenesis disorder 12a ( zellweger )
bone cyst,hyponym,aneurysmal bone cyst
amebiasis,hyponym,amoebic brain abscess
amoebiasis,hyponym,amoebic brain abscess
white dot syndrome,hyponym,acute posterior multifocal placoid pigment epitheliopathy
ehlers - danlos syndrome,hyponym,type v ehler - danlos syndrome
impulse control disorder,hyponym,trichotillomania
parkinsonian syndrome,hyponym,infantile parkinsonism - dystonia
parasitic infectious disease,hyponym,parasitic eye infection
hear disorder,hyponym,tinnitus
tuberculosis,hyponym,tuberculous pneumothorax
brachydactyly,hyponym,berk – tabatznik syndrome
peripheral neuropathy,hyponym,auditory neuropathy
syphilis,hyponym,tertiary syphilis
periodontitis,hyponym,aggressive periodontitis
retinal disease,hyponym,angioid streak
retinopathy,hyponym,angioid streak
viral infectious disease,hyponym,chikungunya
spinal cord disease,hyponym,froin 's syndrome
mouth disease,hyponym,stomatitis
metal metabolism disorder,hyponym,menkes disease
free flap breast reconstruction,hyponym,diep flap
urethropexy,hyponym,tension - free vaginal tape
corneal degeneration,hyponym,recurrent corneal erosion
cervix disease,hyponym,cervicitis
duchenne and becker muscular dystrophy,hyponym,becker muscular dystrophy
chromosome 10 anomaly,hyponym,trisomy 10
adverse drug reaction,hyponym,antibiotic - associate diarrhea
foot disease,hyponym,ankle flare
chronic inflammatory demyelinating polyradiculoneuropathy,hyponym,lewis - sumner syndrome
syndrome,hyponym,yellow nail syndrome
peripheral neuropathy,hyponym,anti - mag peripheral neuropathy
skin disease,hyponym,skin sarcoidosis
melanoma,hyponym,rectal melanoma
genetic disease,hyponym,trichotillomania
encephalitis,hyponym,amoebic brain abscess
arbovirosis,hyponym,chikungunya
diarrhea,hyponym,antibiotic - associate diarrhea
diarrhoea,hyponym,antibiotic - associate diarrhea
hodgkin 's lymphoma,hyponym,hodgkin 's lymphoma lymphocytic depletion
mitochondrial encephalomyopathy,hyponym,merrf syndrome
facial nerve disease,hyponym,melkersson - rosenthal syndrome
vomiting,hyponym,projectile vomiting
melanoma,hyponym,nevoid melanoma
arteriole,hyponym,afferent arteriole
odontogenic cyst,hyponym,developmental odontogenic cyst
dermatitis,hyponym,bullous skin disease
skin disease,hyponym,melkersson - rosenthal syndrome
cardiovascular disease,hyponym,cardiovascular syphilis
lipoma,hyponym,angiolipoma
peptic ulcer disease,hyponym,gastroduodenitis
infertility,hyponym,sterility
lynch syndrome,hyponym,lynch syndrome ii
hemangioma,hyponym,hemangioma of choroid
stomatitis,hyponym,ulcerative stomatitis
dementia,hyponym,lewy body dementia
pneumoconiosis,hyponym,graphite pneumoconiosis
polyp,hyponym,polyp of vagina
brucellosis,hyponym,brucella melitensis brucellosis
syndrome,hyponym,zollinger - ellison syndrome
myocarditis,hyponym,interstitial myocarditis
pneumothorax,hyponym,tuberculous pneumothorax
respiratory disease,hyponym,asphyxia neonatorum
inflammatory bowel disease,hyponym,colitis
purpura,hyponym,obstructive purpura
calcinosis,hyponym,vascular calcification
intestinal malrotation,hyponym,common mesentery
paraganglioma,hyponym,sympathetic paraganglioma
cryptophthalmos,hyponym,congenital symblepharon
vasculitis,hyponym,autoimmune vasculitis
genetic disease,hyponym,torsion dystonia 1
genetic disease,hyponym,familial temporal lobe epilepsy 8
genetic disease,hyponym,congenital secretory sodium diarrhea 8
genetic disease,hyponym,congenital malabsorptive diarrhea 4
genetic disease,hyponym,isolate microphthalmia 8
genetic disease,hyponym,hemochromatosis type 4
prenatal testing,hyponym,nonstress test
idiopathic interstitial pneumonia,hyponym,cryptogenic organize pneumonia
primary tumor of the heart,hyponym,heart cancer
cardiovascular cancer,hyponym,heart cancer
thoracic cancer,hyponym,heart cancer
syncope,hyponym,micturition syncope
melanoma,hyponym,scrotum melanoma
ectropion,hyponym,congenital ectropion
chromosome abnormality,hyponym,sex chromosome aberration
toxic dermatosis,hyponym,arsenical keratosis
precocious puberty in female,hyponym,aromatase excess syndrome
bone fracture,hyponym,elbow fracture
reproductive system disease,hyponym,aromatase excess syndrome
arterial blood pressure,hyponym,aortic pressure
vascular skin disease,hyponym,skin sarcoidosis
muscular disease,hyponym,epidemic pleurodynia
panniculitis,hyponym,nodular vasculitis
rosacea,hyponym,ocular rosacea
encephalitis,hyponym,infectious encephalitis
hypersomnia,hyponym,idiopathic hypersomnia
carcinoma,hyponym,metaplastic carcinoma
primary ciliary dyskinesia,hyponym,primary ciliary dyskinesia 12
primary ciliary dyskinesia,hyponym,primary ciliary dyskinesia 18
primary ciliary dyskinesia,hyponym,primary ciliary dyskinesia 6
primary ciliary dyskinesia,hyponym,primary ciliary dyskinesia 19
primary ciliary dyskinesia,hyponym,primary ciliary dyskinesia 13
leukodystrophy,hyponym,adult - onset autosomal dominant demyelinating leukodystrophy
cellulitis,hyponym,bullous skin disease
cerebral degeneration,hyponym,ichthyosis - hepatosplenomegaly - cerebellar degeneration syndrome
head and neck cancer,hyponym,neoplasm of floor of mouth
heart arrhythmia,hyponym,junctional rhythm
adrenal gland disease,hyponym,hypoaldosteronism
multiple abnormality,hyponym,tetra - amelia
optic nerve tumor,hyponym,optic nerve sheath meningioma
oral torus,hyponym,torus palatinus
physical urticaria,hyponym,vibratory angioedema
tooth disease,hyponym,supernumerary root
nerve sheath neoplasm,hyponym,optic nerve sheath meningioma
viral hemorrhagic fever,hyponym,omsk hemorrhagic fever
skin disease,hyponym,yellow nail syndrome
bacterial infectious disease,hyponym,subdural empyema
pemphigoid,hyponym,epidermolysis bullosa acquisita
epidermolysis bullosa,hyponym,epidermolysis bullosa acquisita
empyema,hyponym,subdural empyema
leprosy,hyponym,lepromatous leprosy
cockayne syndrome,hyponym,cockayne syndrome type 2
peripheral neuropathy,hyponym,neuritis
sarcoidosis,hyponym,skin sarcoidosis
emphysema,hyponym,pneumothorax
lipid metabolism disorder,hyponym,lipoid proteinosis
erythema nodosum,hyponym,nodular vasculitis
short bone,hyponym,carpal bone
viral infectious disease,hyponym,epidemic pleurodynia
allergic contact dermatitis,hyponym,toxicodendron dermatitis
acute orbital inflammation,hyponym,orbital tenonitis
impaired renal function disease,hyponym,renal insufficiency
impaired renal function disease,hyponym,renal failure
gastrointestinal system cancer,hyponym,neoplasm of floor of mouth
pigmentation disorder,hyponym,legius syndrome
pleural disease,hyponym,pneumothorax
optic nerve disease,hyponym,optic disk drusen
eye disease,hyponym,ocular rosacea
primary immunodeficiency disease,hyponym,neutrophil immunodeficiency syndrome
